id_process;status;status_date;hashtags;id;url;title;description;upload_date;channel;duration;view_count;like_count;format;width;height;resolution;tbr;abr;acodec;vbr;fps;vcodec;container;filesize;filesize_approx;protocol;extractor;track;artist;genre;album;album_type;album_artist
0;Processed;20230523;#funk;dNHUhaLqr7c;https://www.youtube.com/watch?v=dNHUhaLqr7c;Solteiras Shake - Ludmilla, Ft. Gabriel do Borel | FitDance (Coreografia);"Solteiras Shake - Ludmilla, Ft. Gabriel do Borel | FitDance (Coreografia)

#Coreografia para vocês! DC: FitDance
Elenco do vídeo: @gustavosantosw @saabrinarocha @vickpirees @taysmithf @naianedarlenn

TikTok: https://vm.tiktok.com/ZMdruVnm2/
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography";20230517;FitDance;363;17964;487;137 - 1920x1080 (1080p);1920;1080;;4402.739;;none;;24;avc1.640028;mp4_dash;199790281;;http_dash_segments;youtube;;;;;;
1;Processed;20230523;#pagode;FW-RjHXbyq8;https://www.youtube.com/watch?v=FW-RjHXbyq8;Love e Macetada - Banda Parangolé | FitDance (Coreografia);"Love e Macetada - Banda Parangolé | FitDance (Coreografia)

#Coreografia para vocês! DC: @lusouzareal
Elenco do vídeo: @d_astral @naianedarlenn

TikTok: https://vm.tiktok.com/ZMdruVnm2/
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography";20230517;FitDance;181;47090;856;137 - 1920x1080 (1080p);1920;1080;;1814.28;;none;;24;avc1.640028;mp4_dash;41022934;;http_dash_segments;youtube;Love e Macetada;Parangolé;;É o Pai de Novo - Parangolé 2023;;
2;Processed;20230523;#funk #sertanejo;Br8xTiOqvdA;https://www.youtube.com/watch?v=Br8xTiOqvdA;Welcome To The Mato - Marco Brasil Filho, Ft. Dj Kevin | FitDance (Coreografia);"Welcome To The Mato - Marco Brasil Filho, Ft. Dj Kevin | FitDance (Coreografia)

#Coreografia para vocês! DC: FitDance
Elenco do vídeo: @vickpirees | @d_astral | @nainanedarlenn 

TikTok: https://vm.tiktok.com/ZMdruVnm2/
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography";20230516;FitDance;185;70628;1035;137 - 1920x1080 (1080p);1920;1080;;3403.694;;none;;24;avc1.640028;mp4_dash;78718085;;http_dash_segments;youtube;Welcome To The Mato;Marco Brasil Filho, Dj Kevin;;Welcome To The Mato;;
3;Processed;20230523;#piseiro;xX0ZWd8KfbM;https://www.youtube.com/watch?v=xX0ZWd8KfbM;Brota lá em casa - O Rei do Piseiro, Ft. Nego Jah | FitDance (Coreografia);"Brota lá em casa - O Rei do Piseiro, Ft. Nego Jah | FitDance (Coreografia)

#Coreografia para vocês! DC: FitDance
Elenco do vídeo: @d_astral | @taysmithf | @vi.melloo 

TikTok: https://vm.tiktok.com/ZMdruVnm2/
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography";20230515;FitDance;211;41643;1190;137 - 1920x1080 (1080p);1920;1080;;2948.035;;none;;24;avc1.640028;mp4_dash;77616996;;http_dash_segments;youtube;;;;;;
4;Processed;20230523;#funk;cveTsmWApp8;https://www.youtube.com/watch?v=cveTsmWApp8;Dano Sarrada - Marina Sena | FitDance (Coreografia);"Dano Sarrada - Marina Sena | FitDance (Coreografia)

#Coreografia para vocês! DC: FitDance
Elenco do vídeo: @gustavosantosw | @vickpirees | @d_astral 

TikTok: https://vm.tiktok.com/ZMdruVnm2/
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography";20230514;FitDance;208;11277;379;137 - 1920x1080 (1080p);1920;1080;;4413.432;;none;;24;avc1.640028;mp4_dash;114725511;;http_dash_segments;youtube;Dano Sarrada;Marina Sena;;;;
