id_process;status;status_date;hashtags;id;url;title;description;upload_date;channel;duration;view_count;like_count;format;width;height;resolution;tbr;abr;acodec;vbr;fps;vcodec;container;filesize;filesize_approx;protocol;extractor;track;artist;genre;album;album_type;album_artist
0;Processed;20230623;#break;J81VYjZvg80;https://www.youtube.com/watch?v=J81VYjZvg80;Hong 10 vs Menno - Battle 8 - Red Bull BC One World Final 2013 Seoul;"► PROGRAMMING ALERT: Watch the Bonnaroo 2016 REPLAY here: http://win.gs/Bonnaroo16
Watch as champion Hong 10 takes on B-Boy Menno in the 2013 World Finals of the Red Bull BC One in Seoul
________________________________________­­____________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel.

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;315;1285787;6521.0;137 - 1920x1080 (1080p);1920;1080;;3152.765;;none;;30;avc1.640028;mp4_dash;124119254;;http_dash_segments;youtube;;;;;;
1;Processed;20230623;#frevo;6XruFqqeq9o;https://www.youtube.com/watch?v=6XruFqqeq9o;Frevo Pernambucano;"Filmado por mim (Arnaldo Temporal) no dia 22 de dezembro de 2012 às 15:004 hs na Sé de Olinda - Pernambuco.
O Nome do Frevo é Fogão de autoria de Sergio Lisboa e é executado pelo Maestro Duda e sua Orquestra.
Unesco torna frevo pernambucano patrimônio da humanidade no dia 5 de dezembro de 2012.";20121224;Arnaldo Temporal;134;1148658;11444.0;137 - 1920x1080 (1080p);1920;1080;;4323.441;;none;;30;avc1.640028;mp4_dash;72309556;;http_dash_segments;youtube;;;;;;
2;Processed;20230623;#forro;w67nCUMe0fs;https://www.youtube.com/watch?v=w67nCUMe0fs;EX DANÇARINA DO WASHINGTON DA SHOW 🎤;"Inscreva-se no NOSSO CANAL De Pizeiro Oficial
E deixa seu Joinha #comenta e compartilha nossos vídeos do canal 
   
 YOU TUBE : 

https://www.youtube.com/channel/UCVPHyW4lAgdgz1dsThRKLuQ 

REDES SOCIAIS JUNINHO GONÇALVES 
👇
https://bit.ly/juninhogoncalves

Juninho Gonçalves 
Instagram:@juniorgoncalveswb 
https://instagram.com/juniorgoncalveswb?igshid=1bx4lzzc15m9y 

https://vm.tiktok.com/ZM8smc69J/

https://s.kw.ai/u/gzac2BCs

REDES SOCIAIS THAIS KIARA 

@oficialthaiskiara:

https://instagram.com/oficialthaiskiara?igshid=YmMyMTA2M2Y=

TiK TOK : 

https://vm.tiktok.com/ZMNeJURDy/

KWAI:

https://s.kw.ai/u/b4TCLjBI

(PARCERIAS E DIVULGAÇÕES)
👇
juninho Gonçalves 
(88) 9 8174-2915

CAIXA POSTAL 📪
👇
Av. Coronel Pedro de moura N°120 Jaguara SP
CEP. 05118-040

juninho Gonçalves 

#gratidão🙏";20220824;Juninho Gonçalves;181;13674;568.0;137 - 1920x1080 (1080p);1920;1080;;4498.82;;none;;30;avc1.640028;mp4_dash;101691900;;http_dash_segments;youtube;;;;;;
3;Processed;20230623;#contemporaneo;hzzkadJLMuk;https://www.youtube.com/watch?v=hzzkadJLMuk;Contemporary dance. floor work. Warm up.;Технический класс (разогрев) со студентами.;20210720;Кристина Завизион;53;19819;;137 - 1920x1080 (1080p);1920;1080;;2564.853;;none;;30;avc1.640028;mp4_dash;16863588;;http_dash_segments;youtube;;;;;;
