id_process;status;status_date;hashtags;id;url;title;description;upload_date;channel;duration;view_count;like_count;format;width;height;resolution;tbr;abr;acodec;vbr;fps;vcodec;container;filesize;filesize_approx;protocol;extractor;track;artist;genre;album;album_type;album_artist
0;Processed;20230628;#ballet #contemporaneo;_60Ga8MXQtA;https://www.youtube.com/watch?v=_60Ga8MXQtA;Isabella Torres Guerrero - Serenity | FIBCUN 2023 (Festival);"Bailarina/Dancer: Isabella Torres Guerrero  (14años de edad/ 14 years old)
Coreografía: ""Serenity""
Coreógrafa:  Disley Rodríguez Asencio 
Maestras titulares:  Disley Rodríguez Asencio /Odriet Martínez Martínez 
Dirección Artística: Sara Collier 
Video: Patricio Pimienta 

Redes sociales Corpus Danza:
INSTAGRAM
https://www.instagram.com/corpus_danza/​
PÁGINA WEB 
https://www.corpusdanza.com​ 
FACEBOOK 
https://www.facebook.com/CorpusDanzaM​...";20230426;Corpus Danza;176;223;8;137 - 1920x1080 (1080p);1920;1080;;1396.608;;none;;24;avc1.640028;mp4_dash;30763267;;http_dash_segments;youtube;Serenity;Simon Folwar;;;;
1;Processed;20230628;#ballet #classic;6w1BF0xUIJQ;https://www.youtube.com/watch?v=6w1BF0xUIJQ;Isabella Torres Guerrero - Peasant | FIBCUN 2023 (Festival);"Bailarina/Dancer: Isabella Torres Guerrero  (14 años de edad/ 14 years old)
Variación: ""Peasant"" del ballet Giselle 
Maestras ensayadoras:  Disley Rodríguez Asencio /Odriet Martínez Martínez 
Dirección Artística: Sara Collier 
Video: Patricio Pimienta 

Redes sociales Corpus Danza:
INSTAGRAM
https://www.instagram.com/corpus_danza/​
PÁGINA WEB 
https://www.corpusdanza.com​ 
FACEBOOK 
https://www.facebook.com/CorpusDanzaM​...";20230426;Corpus Danza;56;167;8;137 - 1920x1080 (1080p);1920;1080;;1339.243;;none;;24;avc1.640028;mp4_dash;9439822;;http_dash_segments;youtube;;;;;;
2;Processed;20230628;#ballet #classic;YynjruA_Xhw;https://www.youtube.com/watch?v=YynjruA_Xhw;Sofía Blanco Aguilar - Masquerade Ball | FIBCUN 2023 (Festival);"Bailarina/Dancer: Sofía Blanco Aguilar (11 años de edad/ 11 years old)
Coreografía: ""Masquerade ball"" 
Coreógrafa: Disley Rodríguez Asencio 
Dirección Artística: Sara Collier 
Maestras ensayadoras: Disley Rodríguez Asencio/Odriet Martínez Martínez 
Video: Patricio Pimienta 

Redes sociales Corpus Danza:
INSTAGRAM
https://www.instagram.com/corpus_danza/​
PÁGINA WEB 
https://www.corpusdanza.com​ 
FACEBOOK 
https://www.facebook.com/CorpusDanzaM​...";20230429;Corpus Danza;170;260;7;137 - 1920x1080 (1080p);1920;1080;;1412.814;;none;;24;avc1.640028;mp4_dash;30000754;;http_dash_segments;youtube;;;;;;
3;Processed;20230628;#ballet #contemporaneo;ju43Fxfgnpo;https://www.youtube.com/watch?v=ju43Fxfgnpo;Bárbara Martínez Campa - Searching Home | FIBCUN 2021 (Gala);"Corpus Danza | Festival Internacional de Ballet Cancún  

Gala de Participantes 
Bailarina/Dancer: Bárbara Martínez Campa (14 años de edad/ 14 years old)
Nombre de la coreografía: ""Searching Home"" 
Coreógrafa: Disley Rodríguez Asencio 

🏅 Premios/ distinciones 
Invitada a la Gala de Participantes  y ganadora de becas para En Pro del Talento Veracruzano (Beca completa), World Ballet Competition (Pre- Professional) , Sociedad Mexicana de Maestros de Danza para participar en el ""Encuentro de Talentos Infantiles y Juveniles de la Danza Clásica 2021"", Master Class con Juliet  Doherty & Krista King - Doherty. 

Redes sociales Corpus Danza:
INSTAGRAM
https://www.instagram.com/corpus_danza/
PÁGINA WEB 
https://www.corpusdanza.com 
FACEBOOK 
https://www.facebook.com/CorpusDanzaM...";20210517;Corpus Danza;156;214;8;137 - 1920x1080 (1080p);1920;1080;;1059.208;;none;;24;avc1.640028;mp4_dash;20664090;;http_dash_segments;youtube;Searching for Home;Dustin O'Halloran, Volker Bertelmann, Dustin O'Halloran & Hauschka;;;;
4;Processed;20230628;#ballet #contemporaneo;6jkn_yPV2mM;https://www.youtube.com/watch?v=6jkn_yPV2mM;Soldiers - Corpus Danza | TDR 2020 - Monterrey;"Corpus Danza | TDR 2020 Monterrey Semifinales 
Nombre de la  coreografía: Soldiers 
Coreógrafo: Paulina Gilio Zamudio 
Grupo: Contemporáneo/Jazz 
🏆3rd place overall en grupal junior/grande- línea Contemporáneo.

🏆Puntuación más alta en Contemporáneo en la categoría grupal junior/grande línea
Video: TDR

Redes sociales Corpus Danza:

INSTAGRAM
https://www.instagram.com/corpus_danza/
TWITTER
https://twitter.com/Corpus_Danza
FACEBOOK 
https://www.facebook.com/CorpusDanzaM...";20200223;Corpus Danza;169;838;9;137 - 1920x1080 (1080p);1920;1080;;1605.196;;none;;24;avc1.640028;mp4_dash;33809259;;http_dash_segments;youtube;Soldier;Fleurie;;Arrows;;
