video_id;frame
I58rRto4Tp69;4836
I58rRto4Tp70;4837
I58rRto4Tp71;4838
I58rRto4Tp72;4839
I58rRto4Tp73;4844
I58rRto4Tp74;4845
I58rRto4Tp75;4846
I58rRto4Tp76;4847
I58rRto4Tp77;4848
I58rRto4Tp78;4849
I58rRto4Tp79;4850
I58rRto4Tp80;4851
I58rRto4Tp81;4852
I58rRto4Tp82;4853
I58rRto4Tp83;4854
I58rRto4Tp84;4856
I58rRto4Tp85;4858
I58rRto4Tp86;4859
I58rRto4Tp87;4860
I58rRto4Tp88;4861
I58rRto4Tp89;4862
I58rRto4Tp90;4863
I58rRto4Tp91;4864
I58rRto4Tp92;4867
I58rRto4Tp93;4897
I58rRto4Tp94;4899
I58rRto4Tp95;5000
I58rRto4Tp96;5001
I58rRto4Tp97;5002
I58rRto4Tp98;5003
I58rRto4Tp99;5004
I58rRto4Tp100;5005
I58rRto4Tp101;5006
I58rRto4Tp102;5007
I58rRto4Tp103;5008
I58rRto4Tp104;5009
I58rRto4Tp105;5010
I58rRto4Tp106;5011
I58rRto4Tp107;5016
I58rRto4Tp108;5017
I58rRto4Tp109;5018
I58rRto4Tp110;5019
I58rRto4Tp111;5021
I58rRto4Tp112;5090
I58rRto4Tp113;8942
I58rRto4Tp114;8959
I58rRto4Tp115;9060
I58rRto4Tp116;9065
I58rRto4Tp117;9067
I58rRto4Tp118;9902
I58rRto4Tp119;9905
I58rRto4Tp120;9908
I58rRto4Tp121;9909
I58rRto4Tp122;9914
I58rRto4Tp123;9917
I58rRto4Tp124;9918
I58rRto4Tp125;9921
I58rRto4Tp126;9922
I58rRto4Tp127;9923
I58rRto4Tp128;9924
I58rRto4Tp129;9925
I58rRto4Tp130;9926
I58rRto4Tp131;9928
I58rRto4Tp132;9944
I58rRto4Tp133;9946
I58rRto4Tp134;9947
I58rRto4Tp135;9952
I58rRto4Tp136;9957
I58rRto4Tp137;9958
I58rRto4Tp138;9962
I58rRto4Tp139;9963
I58rRto4Tp140;9964
I58rRto4Tp141;9966
I58rRto4Tp142;9967
I58rRto4Tp143;9970
I58rRto4Tp144;9983
I58rRto4Tp145;9985
I58rRto4Tp146;10210
I58rRto4Tp147;16116
I58rRto4Tp148;16253
I58rRto4Tp149;16255
I58rRto4Tp150;17430
I58rRto4Tp151;17431
I58rRto4Tp152;17432
I58rRto4Tp153;17433
I58rRto4Tp154;17587
I58rRto4Tp155;17590
I58rRto4Tp156;17592
I58rRto4Tp157;17593
I58rRto4Tp158;17594
I58rRto4Tp159;17596
I58rRto4Tp160;18555
I58rRto4Tp161;18556
I58rRto4Tp162;18557
I58rRto4Tp163;20254
I58rRto4Tp164;20320
I58rRto4Tp165;20326
I58rRto4Tp166;21397
I58rRto4Tp167;21400
I58rRto4Tp168;21405
I58rRto4Tp169;21406
I58rRto4Tp170;21407
I58rRto4Tp171;21409
I58rRto4Tp172;21410
I58rRto4Tp173;21410
I58rRto4Tp174;21411
I58rRto4Tp175;21417
I58rRto4Tp176;21447
I58rRto4Tp177;21471
I58rRto4Tp178;21472
I58rRto4Tp179;21481
I58rRto4Tp180;21483
I58rRto4Tp181;21486
I58rRto4Tp182;21487
I58rRto4Tp183;21496
I58rRto4Tp184;21519
I58rRto4Tp185;21521
I58rRto4Tp186;21630
I58rRto4Tp187;21659
I58rRto4Tp188;21863
I58rRto4Tp189;21890
I58rRto4Tp190;21902
I58rRto4Tp191;21917
I58rRto4Tp192;21918
I58rRto4Tp193;21921
I58rRto4Tp194;22046
I58rRto4Tp195;23153
IS8r3wG8-Js;1184
IS8r3wG8-Js;1576
IS8r3wG8-Js;2144
IS8r3wG8-Js;2159
IS8r3wG8-Js;2165
IS8r3wG8-Js;2167
IS8r3wG8-Js;2168
IS8r3wG8-Js;2169
IS8r3wG8-Js;2215
IS8r3wG8-Js;2614
IS8r3wG8-Js;2615
